"ticker","industryAdjustedScore","governancePillarScore","environmentalPillarScore","socialPillarScore"
"A US",-0.0349391776604083,-0.766976938405562,NA,-0.394713113160142
"AAP US",-0.636072388041453,-0.871716491985184,NA,-0.636072388041453
"AAPL US",-0.435472599998476,0.426559789217165,-0.750039109127565,0.435472599998476
"ABBV US",0.669825059235106,0.0414928963916647,0.669825059235106,0.669825059235105
"ABC US",NA,-0.0694375338572383,NA,0.0756694512649978
"ABMD US",NA,-0.57456543515119,-0.711810740464574,0.583349494762954
"ABT US",-0.668918231169792,-0.95407730739717,NA,-0.274303434791394
"ACN US",-0.690990053122804,0.336632557957723,-0.690990053122803,0.591964026205077
"ADBE US",-0.540365761175043,0.109118048407065,-0.874905853586209,-0.826551596531977
"ADI US",-0.482560720268345,-0.403941871944326,-0.574775819609914,-0.482560720268346
"ADM US",0.283027814760305,-0.394559025964054,0.649342802960375,-0.51705849923695
"ADP US",NA,0.435350836728622,NA,-0.23943662026635
"ADSK US",-0.226730296835587,-0.480568951979924,NA,-0.596643582186144
"AEE US",-0.70838517852986,-0.226949735867799,0.122259571982876,-0.21742033984501
"AEP US",0.137317421414825,-0.711496845885916,-0.234910820332079,-0.673570360265564
"AES US",-0.211185908760156,-0.0303477824037201,0.0482109452375873,-0.211185908760156
"AFL US",0.314295496505772,-0.463115597446217,NA,0.314295496505772
"AIG US",NA,-0.745297627560347,-0.493538003163464,0.493538003163464
"AIZ US",-0.50975412240679,-0.54502770175617,0.50975412240679,0.50975412240679
"AJG US",-0.314240426425761,0.526366778792523,0.314240426425761,-0.314240426425761
"AKAM US",-0.674231172703789,-0.896415132984732,-0.920574567552421,-0.630005889520814
"ALB US",-0.10266366076744,0.489103513994975,0.10266366076744,-0.10266366076744
"ALGN US",-0.891151745548808,-0.790420754267842,NA,-0.802711571300341
"ALK US",NA,-0.851638492125646,-0.375402151882645,0.887504069703044
"ALL US",NA,0.202632762238397,0.618748569745789,NA
"ALLE US",-0.790204288518287,-0.865016439734866,0.790204288518287,-0.790204288518287
"AMAT US",0.84821742045121,0.164381671354632,-0.838126258192188,0.0797856206700925
"AMCR US",NA,0.202351764878413,0.00676290874239751,-0.0744010330205635
"AMD US",-0.642289403726521,-0.749646433561648,0.108046278739991,-0.295244928035862
