BB_TICKER_CD,GICS_INDUSTRY_CD,GICS_INDUSTRY_LVL1_NM,GICS_INDUSTRY_LVL2_NM,GICS_INDUSTRY_LVL3_NM,GICS_INDUSTRY_LVL4_NM,EXCHANGE_CD,ISIN_CD,PRMRY_SECURITY_IDENTIFIER_TYPE,PBD_BENCHMARK_HOLDING_PCT
TPR US,25203010,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",NYSE,US8760301072,ISIN,0.03147921
AKAM US,45102030,Information Technology,Software & Services,IT Services,Internet Services & Infrastructure,NASDAQ,US00971T1016,ISIN,0.04184701
AFL US,40301020,Financials,Insurance,Insurance,Life & Health Insurance,NYSE,US0010551028,ISIN,0.12273113
PEAK US,60101050,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs,NYSE,US42250P1030,ISIN,0.04348986
SCHW US,40203020,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage,NYSE,US8085131055,ISIN,0.38131565
HUM US,35102030,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care,NYSE,US4448591028,ISIN,0.18592131
EL US,30302010,Consumer Staples,Household & Personal Products,Personal Products,Personal Products,NYSE,US5184391044,ISIN,0.18492153
VRSN US,45102030,Information Technology,Software & Services,IT Services,Internet Services & Infrastructure,NASDAQ,US92343E1029,ISIN,0.05923376
HSY US,30202030,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,NYSE,US4278661081,ISIN,0.09952528
AAL US,20302010,Industrials,Transportation,Airlines,Airlines,NASDAQ,,CUSIP,0.03323739
NKE US,25203020,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Footwear,NYSE,US6541061031,ISIN,0.48332535
PCG US,55101010,Utilities,Utilities,Electric Utilities,Electric Utilities,NYSE,US69331C1080,ISIN,0.07650761
JCI US,20102010,Industrials,Capital Goods,Building Products,Building Products,NYSE,IE00BY7QL619,ISIN,0.13975245
ZBRA US,45203010,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,NASDAQ,US9892071054,ISIN,0.04538585
KHC US,30202030,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,NASDAQ,,CUSIP,0.1009171
STZ US,30201020,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners,NYSE,US21036P1084,ISIN,0.10877075
VRTX US,35201010,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,NASDAQ,US92532F1003,ISIN,0.239789
OTIS US,20106020,Industrials,Capital Goods,Machinery,Industrial Machinery,NYSE,US68902V1070,ISIN,0.10350706
ORLY US,25504050,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail,NASDAQ,US67103H1077,ISIN,0.15172085
EXPE US,25301020,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",NASDAQ,US30212P3038,ISIN,0.04803692
EXPD US,20301010,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics,NASDAQ,US3021301094,ISIN,0.05146646
FMC US,15101030,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals,NYSE,US3024913036,ISIN,0.04851628
FAST US,20107010,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors,NASDAQ,US3119001044,ISIN,0.08269738
CME US,40203040,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data,NASDAQ,US12572Q1058,ISIN,0.18956165
SEE US,15103020,Materials,Materials,Containers & Packaging,Paper Packaging,NYSE,US81211K1007,ISIN,0.02336823
MTB US,40101015,Financials,Banks,Banks,Regional Banks,NYSE,US55261F1049,ISIN,0.07780675
