"isinID","ticker","Month","Year","price","industryAdjustedScore","weightedAvgScore","environmentalPillarScore","goverancePillarScore","socialPillarScore"
"US00846U1016","A US","12","2021",154.715454545455,8.4,6.1,10,5.3,6.6
"US00751Y1064","AAP US","12","2021",233.821818181818,5.4,4.8,3.6,5.7,4.5
"US0378331005","AAPL US","12","2021",173.552727272727,4.5,4.8,3.7,4,5.9
"US00287Y1091","ABBV US","12","2021",127.852727272727,4.5,4.5,7.4,3.8,4.3
"US03073E1055","ABC US","12","2021",124.759090909091,5.3,4.3,10,4.3,3.4
"US0036541003","ABMD US","12","2021",326.381739130435,7.4,6.2,6.2,4.7,7.3
"US0028241000","ABT US","12","2021",135.475909090909,4.2,5,10,4.2,5.2
"IE00B4BNMY34","ACN US","12","2021",386.191739130435,6.7,5.7,7.1,6.6,4.5
"US00724F1012","ADBE US","12","2021",603.589545454545,8.5,6.5,4.8,7,6.7
"US0326541051","ADI US","12","2021",177.345,5.2,5.3,6.3,3.5,6.1
"US0394831020","ADM US","12","2021",64.7481818181818,7.8,5.7,6.2,4.8,6
"US0530151036","ADP US","12","2021",236.075,10,6.6,10,6.5,6.3
"US0527691069","ADSK US","12","2021",272.925,7.9,5.8,6.4,5.5,5.8
"US0236081024","AEE US","12","2021",86.9518181818182,6.5,5.8,5.8,6,5.5
"US0255371017","AEP US","12","2021",85.6086363636364,7.1,6.9,7,6.6,7.1
"US00130H1059","AES US","12","2021",23.9986363636364,6.7,6.7,7.5,5.6,6.2
"US0010551028","AFL US","12","2021",56.97,5,4.3,5.3,4.5,4.1
"US0268747849","AIG US","12","2021",54.9645454545455,5.6,4.4,6.3,3.1,4.7
"US04621X1081","AIZ US","12","2021",153.289090909091,5,5.5,4,6.7,5.1
"US3635761097","AJG US","12","2021",167.244090909091,5.5,4.6,5.7,5.3,3.9
"US00971T1016","AKAM US","12","2021",114.57,6.9,5.4,9,5.1,5.2
"US0126531013","ALB US","12","2021",241.860454545455,4.5,4.9,4.3,6.9,2.6
"US0162551016","ALGN US","12","2021",637.455454545455,5.5,5.3,7.6,4.3,6
"US0116591092","ALK US","12","2021",50.825,6.9,4.9,3.9,5.6,4.8
