"Month, Year",Average Price (in dollars),INDUSTRY_ADJUSTED_SCORE,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE
"July, 2017",153.28,1.1,3.9,5.2,2.2
"August, 2017",156.81,1.1,3.9,4.6,2.2
"September, 2017",161.25,1.6,4,4.6,2.7
"October, 2017",160.61,1.6,4,5.1,2.7
"November, 2017",170.8,1.6,4,5.1,2.7
"December, 2017",187.79,1.6,4,5.1,2.7
"January, 2018",192.13,1.6,4,4.8,2.7
"February, 2018",187.08,1.6,4,6.2,2.7
"March, 2018",186.63,1.6,4,6.4,2.7
"April, 2018",190.28,1.6,4,6.9,3
"May, 2018",196.85,1.6,4,7.5,3
"June, 2018",205.52,1.6,4,7.5,3
"July, 2018",215.07,1.6,4,7.5,3
"August, 2018",225.32,4.1,4,7.5,3.3
"September, 2018",236.46,4.1,4,7.5,3.3
"October, 2018",226.81,4.1,4,7.5,3.6
"November, 2018",230.11,4.1,4,7.3,3.6
"December, 2018",211.62,4.1,4,7.2,3.6
"January, 2019",209.72,4.1,4,6.7,3.6
"February, 2019",213.86,4.1,4,6.5,3.6
"March, 2019",232.12,4.1,4,6.5,3.6
"April, 2019",244.61,4.1,4,6.5,3.6
"May, 2019",244.66,4.2,4.7,6.5,3.4
"June, 2019",259.08,4.2,4.7,6.4,3.2
"July, 2019",276.27,4.2,4.7,6.4,3.2
"August, 2019",277.31,4.2,4.7,6.4,3.2
"September, 2019",291.52,4.2,4.7,6.4,3.2
"October, 2019",296.1,4.2,4.7,6.4,3.2
"November, 2019",301.09,4.2,4.4,6.4,3.2
"December, 2019",294.71,4.2,4.4,6.4,3.2
"January, 2020",302.82,4.2,4.4,6.4,3.2
"February, 2020",310.83,4.2,4.4,6.1,3.2
"March, 2020",297.64,3.5,4.1,6.3,3.4
"April, 2020",305.13,3.5,4.1,6.3,3.4
"May, 2020",304.8,3.5,4.1,6.3,3.4
"June, 2020",302.89,3.5,4.1,6.3,3.4
"July, 2020",322.78,3.5,4.1,6.3,3.4
"August, 2020",340.81,3.5,4.1,6.3,3.4
"September, 2020",345.21,3.5,4.1,6.3,3.4
"October, 2020",369.75,3.5,4.1,6.3,3.4
"November, 2020",379.25,3.5,4.1,6.3,3.4
"December, 2020",372.41,3.5,4.1,5.2,3.4
"January, 2021",364.06,3.5,4,4.7,3.4
"February, 2021",351.29,3.5,4,4.9,3.4
"March, 2021",332.29,3.5,4,4.7,3.4
"April, 2021",366.94,4.9,4.1,5.7,3.6
"May, 2021",381.05,4.9,4.1,5.7,3.6
"June, 2021",386.2,4.9,4.1,5.7,3.6
"July, 2021",413.08,4.9,4.1,5.7,3.7
"August, 2021",447.11,4.9,4.1,5.7,3.7
"September, 2021",458.25,4.9,4.1,5.7,3.7
"October, 2021",463.74,4.9,4.1,5.7,3.7
"November, 2021",522.78,4.9,4.1,5.7,3.7
"December, 2021",548.3,4.9,4.1,5.7,3.7
"January, 2022",511.29,4.9,4.1,5.9,3.7
"February, 2022",514.02,4.9,4.1,5.7,3.7
"March, 2022",545.45,4.9,4.1,5.7,3.7
"April, 2022",578.98,4.9,4.1,5.7,3.7
"May, 2022",478.95,4.9,4.1,6.1,3.7
"June, 2022",467.36,4.9,4.1,6.6,4.3
"July, 2022",512.03,6.4,4.2,6.6,4.3
"August, 2022",542.15,6.4,4.2,6.6,4.3
"September, 2022",503.75,6.4,4.2,6.6,4.3
