"Month, Year",Average Price (in dollars),INDUSTRY_ADJUSTED_SCORE,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE
"July, 2017",21.69,5.7,3.5,6.7,6.6
"August, 2017",21.09,5.7,3.5,6.7,6.6
"September, 2017",21.93,5.7,3.5,6.7,6.6
"October, 2017",23.37,5.7,3.5,6.7,6.6
"November, 2017",24.25,5.7,3.5,6.4,6.6
"December, 2017",26.88,5.7,3.5,6.4,6.6
"January, 2018",27.55,5.7,3.5,6.2,6.6
"February, 2018",27.04,5.7,3.5,5.7,6.6
"March, 2018",27.98,5.7,3.5,5.7,6.6
"April, 2018",25.82,5.7,3.5,7.2,6.6
"May, 2018",25.95,5.7,3.5,7.2,6.6
"June, 2018",25.9,5.7,3.5,7.2,6.6
"July, 2018",27.06,6.7,3.3,7.2,6.3
"August, 2018",29.2,6.7,3.3,7,6.3
"September, 2018",29.17,6.7,3.3,7.2,6.3
"October, 2018",26.49,6.7,3.3,7.2,6.3
"November, 2018",27.92,6.7,3.3,7.2,6.3
"December, 2018",26.78,6.7,3.3,7.2,6.3
"January, 2019",28.06,6.7,3.3,7.1,6.3
"February, 2019",31.09,6.7,3.3,7.1,6.3
"March, 2019",31.23,6.7,3.3,7.1,6.3
"April, 2019",34.31,6.7,3.3,7.1,6.3
"May, 2019",32.4,6.7,3.3,7.8,6.3
"June, 2019",32.19,6.7,2.9,7.8,6.3
"July, 2019",31.34,6.8,2.9,7.8,6.3
"August, 2019",29.83,6.8,2.9,7.8,6.3
"September, 2019",32.25,6.8,2.9,7.8,6.3
"October, 2019",34.57,6.8,2.9,7.8,6.3
"November, 2019",36.32,6.8,2.9,7.8,6.3
"December, 2019",36.47,6.8,2.9,7.8,6.3
"January, 2020",36.19,6.8,2.9,7.8,6.3
"February, 2020",37.31,6.8,2.9,7.8,6.3
"March, 2020",32.44,6.8,2.9,7.8,6.3
"April, 2020",34.11,6.8,2.9,7.8,6.3
"May, 2020",38.69,8,3,7.9,6.8
"June, 2020",41.74,8,3,7.7,6.8
"July, 2020",44.67,8,3,7.7,6.8
"August, 2020",48.09,8,3,7.7,6.8
"September, 2020",45.19,8,3,7.7,6.8
"October, 2020",44.84,8,3,7.9,6.8
"November, 2020",47.34,8,3,7.7,6.8
"December, 2020",49.06,8,3.3,6.3,6.8
"January, 2021",48.94,8,3.3,6.3,6.8
"February, 2021",46.95,8,3.3,6.3,6.8
"March, 2021",47.67,8,3.3,6.4,6.8
"April, 2021",51.16,8,3.3,6.4,6.8
"May, 2021",52.97,7.7,3,6.4,6.7
"June, 2021",52.0,7.7,2.9,6.4,6.7
"July, 2021",53.71,7.7,2.9,6.4,6.7
"August, 2021",55.33,7.7,2.9,6.4,6.7
"September, 2021",53.66,7.7,2.9,6.4,6.2
"October, 2021",54.49,7.7,2.9,6.4,6.2
"November, 2021",59.62,7.7,2.9,6.4,6.2
"December, 2021",62.58,7.7,2.9,6.4,6.2
"January, 2022",58.7,7.7,2.9,6.4,6.2
"February, 2022",52.86,7.7,2.9,6.4,6.2
"March, 2022",56.0,7.7,2.9,6.4,6.2
"April, 2022",57.53,7.7,3,6.4,6.2
"May, 2022",52.89,7.7,3,6.4,6.2
"June, 2022",51.43,7.4,3,6.7,6.6
"July, 2022",49.08,7.4,3,6.7,6.6
"August, 2022",53.3,7.4,3,6.7,6.6
"September, 2022",48.54,7.4,3,6.7,6.6
