"Month, Year",Average Price (in dollars),INDUSTRY_ADJUSTED_SCORE,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE
"July, 2017",92.2,3.9,7.4,2.6,4.7
"August, 2017",92.09,3.9,7.4,2.6,4.7
"September, 2017",92.39,3.9,7.4,2.6,4.7
"October, 2017",98.39,3.2,7.4,3.2,4.2
"November, 2017",99.46,3.2,7.4,3.2,4.2
"December, 2017",106.28,3.2,7.4,3.2,4.3
"January, 2018",112.35,3.2,7.4,3.2,4.3
"February, 2018",114.0,3.2,7.4,3.6,4.3
"March, 2018",113.4,3.2,7.4,3.6,4.3
"April, 2018",110.42,3.2,7.4,3.6,4.3
"May, 2018",110.89,3.2,7.4,3.6,4.3
"June, 2018",107.73,3.2,7.4,3.6,4.3
"July, 2018",109.95,3.2,7.4,3.6,4.3
"August, 2018",115.58,3.2,6.6,3.3,4.3
"September, 2018",114.95,3.2,6.6,3.5,4.3
"October, 2018",109.28,3.3,6.5,3.5,4.5
"November, 2018",109.61,3.3,6.5,3.5,4.5
"December, 2018",99.85,3.3,6.5,3.5,4.5
"January, 2019",101.88,3.3,6.5,3.3,4.5
"February, 2019",104.01,3.3,6.5,2.8,4.5
"March, 2019",103.27,3.3,6.6,2.8,4.9
"April, 2019",109.96,3.3,6.6,2.9,4.9
"May, 2019",111.2,3.3,6.6,2.9,4.9
"June, 2019",109.53,3.3,6.6,2.1,5
"July, 2019",114.57,3.3,6.6,2.4,5
"August, 2019",108.41,2.9,6.6,2.1,5
"September, 2019",116.67,2.9,6.6,2.1,5
"October, 2019",119.56,2.9,6.6,2.1,5
"November, 2019",129.98,2.9,6.6,2.1,5
"December, 2019",136.13,2.9,6.6,2.1,5
"January, 2020",136.4,2.9,6.6,2,5.2
"February, 2020",133.64,2.9,6.6,2,5.2
"March, 2020",96.78,2.9,6.6,2,5.2
"April, 2020",92.09,2.9,6.6,2,5.2
"May, 2020",91.52,2.9,6.6,2,5.2
"June, 2020",100.59,2.9,6.6,1.5,5.2
"July, 2020",96.73,2.9,6.6,1.5,5.2
"August, 2020",99.71,2.9,6.6,1.5,5.2
"September, 2020",98.23,2.9,6.8,1.6,5.3
"October, 2020",99.99,2.9,6.8,1.6,5.3
"November, 2020",113.4,2.9,6.8,1.6,5.3
"December, 2020",122.08,2.9,8.4,1.4,5.2
"January, 2021",134.02,5.4,8.4,1.5,4.9
"February, 2021",142.6,5.4,8.4,2.6,4.9
"March, 2021",153.05,5.4,8.4,2.6,4.9
"April, 2021",152.67,5.4,8.5,2.6,5
"May, 2021",160.92,5.4,8.5,3.7,5
"June, 2021",157.73,5.4,9,4.6,4.9
"July, 2021",153.03,5.4,9,4.6,4.9
"August, 2021",157.57,5.4,9,4.6,4.9
"September, 2021",159.69,5.4,9.7,4.3,4.1
"October, 2021",168.23,5.4,9.7,4.3,4.1
"November, 2021",166.1,7.1,9.4,4.3,4.5
"December, 2021",158.61,7.1,9.4,4.3,4.5
"January, 2022",156.41,7.1,9.4,4.4,4.5
"February, 2022",151.5,7.1,9.4,4.4,4.5
"March, 2022",136.74,7.1,9.4,4.4,4.5
"April, 2022",129.05,7.1,9.3,4.2,4.5
"May, 2022",122.93,7.1,9.3,4.4,4.5
"June, 2022",119.95,7.1,9.3,5.1,4.5
"July, 2022",113.57,7.1,9.3,5.1,4.5
"August, 2022",117.02,7.1,9.4,4.9,4.7
"September, 2022",113.42,7.1,9.4,4.5,4.7
