"Month, Year",Average Price (in dollars),INDUSTRY_ADJUSTED_SCORE,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE
"July, 2017",41.21,8.3,2.8,5.8,6.3
"August, 2017",41.03,8.3,2.8,6.4,6.3
"September, 2017",40.61,8.3,3.3,6.4,5.9
"October, 2017",42.76,8.3,3.3,6.5,5.9
"November, 2017",44.47,8.3,3.3,5.9,5.9
"December, 2017",42.36,8.3,2.5,5.9,6.6
"January, 2018",45.3,8.3,2.5,5.7,6.6
"February, 2018",45.62,8.3,2.5,6.3,6.6
"March, 2018",52.17,8.3,2.5,6.5,6.6
"April, 2018",52.96,8.3,2.5,6.4,6.4
"May, 2018",53.29,8.3,2.5,6.4,6.4
"June, 2018",60.56,8.3,2.5,6.5,6.4
"July, 2018",59.73,8.3,2.5,6.5,6.4
"August, 2018",61.33,8.3,2.5,6.6,6.4
"September, 2018",65.49,8.3,2.5,6.5,6.4
"October, 2018",61.93,8.3,2.5,6.5,6.4
"November, 2018",58.53,8.5,2.4,6.9,6
"December, 2018",59.87,8.5,2.4,6.4,6
"January, 2019",67.88,8.5,2.4,6.3,6
"February, 2019",79.68,8.5,2.4,5.9,6
"March, 2019",85.5,8.5,2.4,5.9,6.6
"April, 2019",89.72,8.5,2.4,6.2,6.6
"May, 2019",81.13,8.5,2.4,6,6.6
"June, 2019",83.97,8.5,2.4,6.1,6.6
"July, 2019",90.11,8.5,2.4,6,6.6
"August, 2019",89.71,8.5,2.4,6.1,6.6
"September, 2019",98.65,8.5,2.4,5.5,6.6
"October, 2019",98.28,8.5,2.4,5.5,6.6
"November, 2019",105.87,8.5,2.4,5.5,6.6
"December, 2019",103.46,8.3,2.3,5.5,6.8
"January, 2020",101.27,8.3,2.3,5.5,6.8
"February, 2020",95.51,8.3,2.3,5.5,6.8
"March, 2020",88.49,8.3,2.3,5.4,6.8
"April, 2020",92.69,8.5,2.3,5.7,6.8
"May, 2020",99.29,8.5,2.3,6,6.8
"June, 2020",102.37,8.5,2.3,6,6.8
"July, 2020",98.18,8.5,2.3,6,6.8
"August, 2020",99.68,8.5,2.3,6,6.8
"September, 2020",96.81,8.5,2.3,6,6.8
"October, 2020",104.03,8.5,2.3,6,6.8
"November, 2020",114.74,8.5,2.3,6,6.8
"December, 2020",126.62,8.5,2.3,5,6.8
"January, 2021",144.39,8.5,2.3,5.3,6.8
"February, 2021",144.48,8.5,2.3,5.3,6.8
"March, 2021",137.48,8.5,2.3,5.3,6.8
"April, 2021",145.51,7.7,2.3,5.2,6.5
"May, 2021",140.08,7.7,2.3,4.7,6.5
"June, 2021",149.27,7.7,2.3,5,6.5
"July, 2021",157.34,7.7,2.3,5,6.5
"August, 2021",169.23,7.7,2.3,5,6.5
"September, 2021",176.95,7.7,2.3,5,6.5
"October, 2021",169.78,7.7,2.3,5.1,6.5
"November, 2021",189.61,7.7,2.3,5.1,6.3
"December, 2021",201.13,7.7,2.3,5,7.1
"January, 2022",181.74,7.7,2.3,4.7,7.1
"February, 2022",164.9,7.7,2.3,4.9,7.1
"March, 2022",154.76,7.7,2.3,5.2,7.1
"April, 2022",148.27,7.7,2.3,5.3,7.1
"May, 2022",138.65,7.7,2.3,5.2,7.1
"June, 2022",140.13,7.7,2.3,5.8,7.1
"July, 2022",146.43,8.2,2.6,5.8,6.9
"August, 2022",168.32,8.2,2.6,5.8,6.9
"September, 2022",163.97,8.2,2.6,5.8,6.9
