"ticker","industryAdjustedScore","governancePillarScore","environmentalPillarScore","socialPillarScore"
"",0.0286485332126202,0.0252553613331131,0.125599922071776,-0.0717720308567862
"A US",-0.618390783329176,0.204286681647978,NA,-0.491961233825061
"AA US",0.888606668771623,0.24180117552643,-0.838812243980043,0.784184897104663
"AAP US",-0.740277259817617,-0.357607920437836,-0.106573343765477,0.297418417814602
"AAPL US",0.37876603783611,-0.140328537535832,-0.650538129895236,0.596855963722223
"ABBV US",0.619419023023931,0.35510283675139,0.608716002731984,0.471362540627999
"ABC US",-0.248765939608523,-0.513439501048345,0.525354795336238,0.157470156190317
"ABMD US",NA,-0.846489464572776,-0.988427085167413,0.151696728071015
"ABT US",0.492785104863426,0.512028474010824,0.188129918477008,0.65076209699017
"ACE US",-0.576559919374626,0.0100664056481524,-0.576559919374626,0.576559919374626
"ACN US",-0.850744674599002,-0.763675784121495,-0.0475095774811136,-0.831190597011787
"ACT US",-0.381211144465753,-0.90637335192992,-0.381211144465753,-0.381211144465753
"ADBE US",0.868948009533016,0.446231291407565,-0.224455040115926,0.709311303636892
"ADI US",-0.0409132845870105,-0.856171012218245,-0.521453087891332,0.700941790765638
"ADM US",0.734145765639817,-0.238443892734732,0.28715712269631,0.85287265073878
"ADP US",0.963101491855916,0.0825822220773431,NA,0.937665841374295
"ADS US",-0.499935976734521,0.000487754099533352,-0.448568784157036,-0.475850266400929
"ADSK US",0.668438320385392,-0.0977046313145885,-0.0827011910353245,0.426238794292466
"ADT US",0.674926371146514,-0.917207632583725,-0.674926371146515,0.674926371146515
"AEE US",0.880794294574151,-0.249773560065905,0.835376879212939,0.162933573227252
"AEP US",0.813038809965382,-0.336267292527454,0.806616950184671,0.645573574168682
"AES US",0.588263077307263,0.505703253071214,0.497940838586561,0.779563110986532
"AET US",0.577788720745141,-0.813164885399809,0.264608117553914,0.835667510277896
"AFL US",-0.378317646215644,-0.600102342508616,-0.410476861689407,0.859229750071782
"AGN US",-0.583591262999277,-0.663416278305812,-0.578832157532916,-0.0505674071125034
"AIG US",-0.34203058452052,-0.182032464329724,0.165801025021602,-0.477412355422336
"AIV US",0.759001452018832,0.423338164982696,0.748926580564408,-0.683372319658907
"AIZ US",0.850244255641818,-0.0857956213529459,-0.91040476231343,0.951392151257979
"AJG US",NA,1,NA,NA
"AKAM US",0.740441875716089,0.506483108718475,0.300509060304731,0.639346822464247
"ALB US",NA,0.799551905300698,NA,NA
"ALGN US",-0.944182092195928,-0.944182092195928,NA,-0.944182092195928
"ALK US",NA,NA,NA,NA
"ALL US",-0.238268056799836,-0.226920777517483,-0.865136186168212,0.954148950715955
"ALLE US",0.845260750973482,-0.338823375304302,0.421203114353016,0.121574519619396
"ALTR US",-0.817057169102883,-0.86724429040794,0.817057169102883,NA
"ALXN US",0.861132407160357,0.628152659352623,-0.92036018115078,-0.724926275385934
"AMAT US",0.849237530497331,0.222224931231231,-0.661528267668953,0.88978297747473
"AMCR US",NA,NA,NA,NA
"AMD US",0.883930353829496,0.137368237825335,0.448987554223814,0.561977892167041
"AME US",-0.517561593171071,0.497993756115126,0.282561022356891,-0.670703891415859
"AMG US",-0.638368045886961,0.353175459067921,-0.694056020256919,-0.691702228049203
"AMGN US",0.863949110597799,0.720385762313536,-0.663886468895886,0.853775097109793
"AMP US",0.606541434645523,-0.377227441874526,0.340132166579972,0.727448753757823
"AMT US",0.801000575931714,0.677704849020146,0.844833691395036,0.631623296416686
"AMZN US",0.605825746259165,0.0352062061476868,-0.459322024051849,0.621315123857538
"AN US",-0.488820055632077,-0.464798708228906,0.653472468413602,-0.400818860677183
"ANET US",0.0413096192386014,0.0150079046815115,0.0413096192386014,0.0413096192386014
"ANSS US",1,-1,NA,1
"ANTM US",0.560353400282286,0.547284928930868,0.472379083941589,0.550122079028243
"AON US",0.846667513334603,-0.860329891184064,NA,0.846667513334603
"AOS US",NA,-0.797016770218749,NA,0.921550640565428
"APA US",-0.620741516526936,-0.083368722198278,0.0789936737425132,-0.744519806190958
"APC US",-0.0714714509013497,-0.320241732386152,0.366111777450612,-0.315214809378503
"APD US",0.0734135304258056,0.705333555626267,-0.948445902093164,0.755846332254739
"APH US",0.151821527424632,0.245230829576814,-0.540762959936451,0.73986951107746
"APTV US",0.594014818585226,-0.603523585427216,-0.703076447482811,0.538126008966894
"ARE US",-0.964327788714138,-0.0119758945434477,0.76048614231928,-0.976682654072193
"ARG US",-0.420300415088243,0.11539174235696,-0.161077866816632,-0.125470342939928
"ATI US",-0.577350269189626,0.953998092005724,-0.577350269189626,0.577350269189626
"ATO US",NA,NA,NA,NA
"ATVI US",0.846575479663697,0.762711489332558,0.736082904305545,0.682784000215482
"AVB US",0.178726265235126,-0.00671223359891408,0.246323124652715,0.050749775084842
"AVGO US",-0.816111312287314,-0.502061169113453,0.657255139195154,-0.816111312287314
"AVP US",NA,-1,NA,NA
"AVY US",0.654574283091327,0.799255467319337,-0.334779990448086,-0.479205430714548
"AWK US",NA,-1,1,1
"AXP US",0.210878837703317,0.0731692503672123,NA,-0.380423413915681
"AZO US",0.842490378710331,-0.0377883434610978,-0.307235600555281,0.865577691574445
"BA US",-0.0235219243480887,-0.20886093711816,-0.301057227220721,0.61125616400636
"BAC US",0.856150542044615,0.923824227539928,0.374010265001219,-0.110384658930808
"BAX US",0.245019806667304,-0.51973805234082,NA,0.262121111237395
"BBBY US",0.868948915358161,0.7364174255764,0.689168536011357,0.861159929781149
"BBT US",0.826463452106493,0.765183638129754,0.59701777664432,0.928130876793023
"BBY US",0.614483926645884,0.606654936946531,-0.131745426533358,0.772659671221697
"BCR US",0.989582935021529,0.794940742576183,0.0544228414272239,0.60277382837842
"BDX US",0.0873725434638312,-0.268485388082398,NA,0.225346050275936
