"ticker","isin_ID","environmental_correlation","social_correlation","goverance_correlation"
"SLB US","AN8068571086",-0.810610746390596,-0.687334899769696,-0.68036382941764
"RE US","BMG3223R1088",-0.0240030610593417,0.0689625257149334,-0.567242869653473
"IVZ US","BMG491BT1088",-0.58544720628535,0.0478988339421426,0.0114210609539118
"NCLH US","BMG667211046",-0.749440974267216,-0.719099017129447,-0.916910533310482
"CB US","CH0044328745",-0.85301256683832,0.390996288207014,-0.404151995789055
"TEL US","CH0102993182",-0.7503335677701,0.814474715415686,-0.0147512589966953
"GRMN US","CH0114405324",-0.903496412898151,0.267910391274937,-0.219843068755137
"ACN US","IE00B4BNMY34",-0.291829558011694,-0.738977334187106,-0.703471679404297
"ETN US","IE00B8KQN827",-0.447032608736406,0.200146886045646,-0.285509390588818
"WTW US","IE00BDB6Q211",0.756572839694767,0.822630258472624,-0.659811900855968
"STE US","IE00BFY8C754",-0.7145925914863,0.815308180423646,-0.66761643447743
"TT US","IE00BK9ZQ967",-0.430355168695294,-0.430355168695294,-0.698115842944832
"MDT US","IE00BTN1Y115",0.0130588761958767,0.62747264402839,0.623693718624849
"JCI US","IE00BY7QL619",-0.742881482115378,-0.429592133346894,-0.399418503997245
"LIN US","IE00BZ12WP82",0.738490796198412,NA,0.255512493411797
"APTV US","JE00B783TY65",-0.582634439067521,0.622019507252885,-0.680385593210297
"RCL US","LR0008862868",0.739974892871636,0.581908064846242,0.149937175119132
"NXPI US","NL0009538784",NA,NA,-0.689591069865117
"CCL US","PA1436583006",0.754969379351632,-0.100324132288547,-0.122106299287902
"T US","US00206R1023",NA,-0.679424791956438,-0.462999262186438
"ABT US","US0028241000",0.254595031943197,0.717967805312467,0.636468634261123
"ABBV US","US00287Y1091",0.714653140722062,0.589802106018939,0.254448009953201
"ATVI US","US00507V1098",0.685766880018349,0.604497250940586,0.557987602379284
"ADBE US","US00724F1012",-0.136971190767525,0.749237791062334,0.133020856926726
"A US","US00846U1016",NA,-0.404856862612253,0.17432218153854
"APD US","US0091581068",-0.610247508269023,0.691844724629526,0.503069841143272
"AKAM US","US00971T1016",0.401463433449978,0.673027568852629,-0.0651904945776653
"ALK US","US0116591092",-0.382740449063834,0.897623500539138,-0.881079522055336
"ALB US","US0126531013",0.0971836159992267,-0.0971836159992267,0.471873847137472
"ARE US","US0152711091",0.790465896849422,-0.93013369557613,-0.602418330740026
"ALGN US","US0162551016",NA,-0.814529581331239,-0.797024013057956
"ALL US","US0200021014",-0.805938202767779,0.920351312160793,-0.220529664668011
"GOOG US","US02079K1079",0.313655835926604,0.0779245943309588,-0.555415564124678
"GOOGL US","US02079K3059",0.308291649726179,0.0793385497314244,-0.551459340318778
"MO US","US02209S1033",0.221492809246581,0.0875371326345346,-0.662113185889039
"AMZN US","US0231351067",-0.430047199561627,0.643817507062896,-0.118641648565798
"AEE US","US0236081024",0.812525861595642,0.0204227916002193,-0.330127220799146
"AEP US","US0255371017",0.729305616506269,0.43123374964252,-0.310802826407451
"AXP US","US0258161092",NA,-0.371755984267708,0.110179237644189
"AIG US","US0268747849",0.358979719930786,-0.463213320805937,-0.342593858087185
"AMT US","US03027X1000",0.749934760822918,0.637055049737644,0.553683618265936
"AWK US","US0304201033",0.769760433193274,0.776806051331519,-0.381456382433033
"AME US","US0311001004",0.418681596928186,-0.444122227268623,0.481957844831989
"AMGN US","US0311621009",-0.734997588976272,0.810290770143529,-0.381479064946369
"APH US","US0320951017",-0.472314291705897,0.568071572301915,0.355382133112172
"ADI US","US0326541051",-0.55346590784194,0.649624470002999,-0.71083292648947
"ANSS US","US03662Q1058",-0.797514640259684,0.52937365724001,-0.712353331056824
"ELV US","US0367521038",0.459294062887691,0.787177045784047,0.761822783386652
"AMAT US","US0382221051",-0.628873575798642,0.51389853985229,-0.295798045627269
"ADM US","US0394831020",0.338332074559526,0.822609117704775,-0.248977893438924
"ANET US","US0404131064",-0.576020485463307,-0.576020485463307,-0.602255595911558
"AIZ US","US04621X1081",-0.895938590850797,0.903008618472704,-0.217459116304866
"ATO US","US0495601058",0.836147332030588,0.416764805940834,0.382647556810158
"ADP US","US0530151036",0.271307124450516,0.928750490819735,-0.218659151971334
"AZO US","US0533321024",-0.235448382983517,0.832967333823095,-0.220560419976102
"AVY US","US0536111091",-0.301435847624085,-0.254002746875527,0.673052088967855
"BAC US","US0605051046",0.616070590557798,0.240115646893117,0.921332199618748
"BAX US","US0718131099",NA,0.186219252088907,-0.562036145971992
"WRB US","US0844231029",-0.306239308244595,0.442903281905101,-0.574524746407141
"BRK/B US","US0846707026",0.815303038187501,-0.785649520598027,0.114086132275111
"BBY US","US0865161014",-0.436217791382886,0.898464524766827,0.555146810909368
"BIO US","US0905722072",-0.628599090934305,0.687524988735031,-0.807930195021775
"BIIB US","US09062X1037",-0.353620537135089,-0.658785325689916,0.29067251770519
"TECH US","US09073M1045",NA,0.376246421835378,-0.751860764635211
"BLK US","US09247X1019",0.818201476838823,-0.8125614701,0.116837804599215
"BA US","US0970231058",-0.361240736044277,0.704580904226398,-0.00122212766301453
"BKNG US","US09857L1089",-0.814962711230429,0.612198220457647,-0.851866387136462
"BWA US","US0997241064",-0.132459599475912,0.510779673494709,0.668120627668754
"BSX US","US1011371077",0.744926736143491,0.353340247618949,0.545575014156152
"BMY US","US1101221083",0.100696752165484,0.234414624764924,0.677237681946944
"BR US","US11133T1034",NA,-0.533237256868143,-0.0743130201773975
"AVGO US","US11135F1012",0.778613993051071,-0.824796568550715,-0.734772625003396
"BF/B US","US1156372096",-0.460964575089012,-0.707078745577019,0.242127070545901
"CBRE US","US12504L1098",-0.756886402019714,0.702893205971913,0.102496028596152
"CDW US","US12514G1085",0.287156033507805,-0.446789168092448,-0.300214524758233
"CF US","US1252691001",-0.394905686025687,-0.170296932484277,-0.707218952537484
"CHRW US","US12541W2098",0.427171230073615,0.774854533612663,0.690407039340697
"CI US","US1255231003",NA,0.777347761060959,0.878651923385408
"CMS US","US1258961002",0.8722644020926,0.653956270389505,-0.337372524772891
"CSX US","US1264081035",-0.574306669729349,0.148444609046054,0.0309497085116516
"CDNS US","US1273871087",-0.42653385907413,0.258992377475713,0.262251081922642
"CPT US","US1331311027",NA,NA,-0.830648011584411
"CPB US","US1344291091",0.175199976467898,0.192201353952492,-0.684290782830104
"COF US","US14040H1059",0.221873190356503,0.76298947327838,-0.0993075701607738
"CAH US","US14149Y1082",-0.690892930207966,-0.296405927324459,0.463225412709764
"CARR US","US14448C1045",-0.82083306893351,NA,-0.834500712433201
"CTLT US","US1488061029",0.594059579904966,0.342751956561268,-0.606693313631052
"CNC US","US15135B1017",0.481537995865005,0.367114969368841,0.468291322475184
"CRL US","US1598641074",NA,-0.422553331143071,-0.823051477829837
"CHTR US","US16119P1084",-0.794751768719577,-0.135674395232995,-0.863508686063707
"CVX US","US1667641005",0.713725746381871,0.795690126184933,0.398306885337831
"CMG US","US1696561059",-0.671982981739619,-0.109632420737816,0.338203845889912
"CINF US","US1720621010",-0.354347559249799,0.842681414446004,0.0433820789200799
"CSCO US","US17275R1023",-0.717389871374042,0.717389871374042,-0.548944481973247
"CTAS US","US1729081059",0.49619706899771,0.31973025113284,0.857835037076561
