"Month, Year",Average Price (in dollars),INDUSTRY_ADJUSTED_SCORE,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE
"July, 2017",11.09,6.9,6.5,6.1,5.6
"August, 2017",11.19,6.9,6.5,6.1,5.6
"September, 2017",11.19,6.9,6.5,6.1,5.6
"October, 2017",11.1,6.9,6.9,5.9,5.6
"November, 2017",10.61,6.9,6.9,5.9,5.6
"December, 2017",10.73,6.9,6.9,5.9,5.6
"January, 2018",11.18,6.9,6.9,5.9,5.8
"February, 2018",10.54,6.9,6.9,6.6,5.8
"March, 2018",10.86,6.7,6,6.6,6
"April, 2018",11.67,6.7,6,6.6,6
"May, 2018",12.26,6.7,6,6.6,6
"June, 2018",13.0,6.7,6,6.6,6
"July, 2018",13.08,6.7,6,6.6,6
"August, 2018",13.77,6.7,5.7,6.8,6
"September, 2018",13.53,6.5,5.8,6.8,6.5
"October, 2018",14.71,6.5,5.8,6.3,6.5
"November, 2018",15.32,6.5,5.8,6.5,6.5
"December, 2018",15.05,6.5,5.8,6.5,6.5
"January, 2019",15.4,6.5,5.8,6.5,6.5
"February, 2019",17.12,6.5,5.8,6.3,6.5
"March, 2019",17.95,6.5,5.8,6.3,6.5
"April, 2019",17.83,6.5,5.4,6.3,6.5
"May, 2019",16.37,6.5,5.6,6.4,6.5
"June, 2019",16.63,6.5,5.6,7.2,6.5
"July, 2019",17.08,6.5,5.6,7.2,6.5
"August, 2019",15.41,6.5,5.6,7.2,6.5
"September, 2019",15.8,6.5,5.6,7.1,6.5
"October, 2019",16.34,6.5,5.6,6.5,6.5
"November, 2019",18.21,6.5,5.6,6.3,6.5
"December, 2019",19.29,7.2,4.2,6.5,6.7
"January, 2020",20.24,7.2,6.2,6.6,6.7
"February, 2020",20.19,7.2,6.2,6.6,6.7
"March, 2020",13.76,7.2,6.2,6.6,6.7
"April, 2020",13.23,7.2,6.2,6.4,6.7
"May, 2020",12.54,7.2,6.2,7.1,6.7
"June, 2020",13.6,7.2,6.2,7,6.7
"July, 2020",14.96,7.2,6.2,6.4,6.7
"August, 2020",17.29,7.2,6.2,6.4,6.7
"September, 2020",17.94,7.2,6.1,7.2,6.7
"October, 2020",19.56,7.2,5.9,7.2,6.7
"November, 2020",20.77,7.2,5.9,7.1,6.7
"December, 2020",22.0,7.2,5.9,5.2,6.7
"January, 2021",25.73,6.7,6.6,5.2,6.2
"February, 2021",27.27,6.7,6.6,5.2,6.2
"March, 2021",26.76,6.7,6.6,5.2,6.2
"April, 2021",27.97,6.7,6.6,5.1,6.2
"May, 2021",25.51,6.7,6.6,5.4,6.2
"June, 2021",25.71,6.7,6.6,5.2,6.2
"July, 2021",24.81,6.7,6.6,5.2,6.2
"August, 2021",24.22,6.7,6.6,5.2,6.2
"September, 2021",23.87,6.7,6.6,5.3,6.2
"October, 2021",24.33,6.7,6.8,5.6,6.2
"November, 2021",24.6,6.7,6.8,5.6,6.2
"December, 2021",24.0,6.7,7.5,5.6,6.2
"January, 2022",23.01,6.7,7.5,5.8,6.2
"February, 2022",21.67,8.2,6.9,6.9,7.9
"March, 2022",23.03,8.2,6.9,6.9,7.9
"April, 2022",23.84,8.2,6.9,7,7.9
"May, 2022",20.84,8.2,6.9,6.8,7.9
"June, 2022",20.88,8.2,6.5,7.2,7.9
"July, 2022",20.81,8.2,6.6,7.2,7.9
"August, 2022",24.62,8.2,6.6,7.2,7.9
"September, 2022",25.47,8.2,6.6,7.2,7.9
