"Month, Year",Average Price (in dollars),INDUSTRY_ADJUSTED_SCORE,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE
"July, 2017",106.15,5.5,10,4.3,4.7
"August, 2017",103.54,5.5,10,4.3,4.7
"September, 2017",98.81,5.5,10,4.3,4.7
"October, 2017",98.82,5.5,10,4.3,4.7
"November, 2017",102.52,5.5,10,4.1,4.7
"December, 2017",108.16,5.5,10,3.9,4.6
"January, 2018",110.93,5.5,10,3.9,4.6
"February, 2018",105.5,5.5,10,5.5,4.6
"March, 2018",102.28,5.5,10,4.8,4.6
"April, 2018",100.43,5.2,10,4.8,4.5
"May, 2018",101.85,5.2,10,4.6,4.9
"June, 2018",104.54,5.2,10,4.5,4.9
"July, 2018",109.42,5.2,10,4.1,4.9
"August, 2018",112.93,5.2,10,4.1,4.9
"September, 2018",111.42,5.2,10,4.3,4.9
"October, 2018",115.25,5.2,10,4,4.9
"November, 2018",115.5,5.2,10,4.3,4.9
"December, 2018",109.83,5.2,10,4.3,4.9
"January, 2019",110.9,5.2,10,3.9,4.9
"February, 2019",112.17,5.2,10,3.9,4.8
"May, 2019",133.7,5,10,5.5,4.7
"June, 2019",138.58,5,10,5,4.7
"July, 2019",142.87,5,10,5.5,4.7
"August, 2019",136.54,5,10,5,4.7
"September, 2019",135.12,5,10,5,4.7
"October, 2019",130.14,5,10,5,4.7
"November, 2019",142.89,5,10,5,4.7
"December, 2019",146.76,5,10,5,4.7
"January, 2020",142.86,5,10,5.5,4.5
"February, 2020",136.69,5,10,5.5,4.5
"March, 2020",101.89,5,10,6.1,4.5
"April, 2020",102.49,5,10,6.3,4.8
"May, 2020",110.95,4.9,10,5.9,4.6
"June, 2020",117.44,4.9,10,6.4,4.6
"July, 2020",116.9,4.9,10,6.4,4.6
"August, 2020",129.05,4.9,10,6.4,4.6
"September, 2020",129.43,4.9,10,6.4,4.6
"October, 2020",124.37,4.9,10,6.4,4.6
"November, 2020",138.88,4.9,10,6.4,4.8
"December, 2020",166.93,4.9,10,5.9,5
"January, 2021",173.85,4.9,10,5.5,5
"February, 2021",186.21,4.9,10,5.3,5
"March, 2021",191.66,4.9,10,5,5
"April, 2021",185.97,6.3,10,4.8,5.2
"May, 2021",177.56,6.3,10,4.8,5.2
"June, 2021",176.08,6.3,10,4.8,5.2
"July, 2021",177.87,6.3,10,4.4,5.2
"August, 2021",177.17,6.3,10,4.4,5.2
"September, 2021",179.75,6.3,10,4.4,5
"October, 2021",172.88,6.3,10,4.4,5
"November, 2021",161.22,6.3,10,4.4,5
"December, 2021",150.9,6.3,10,4.4,4.8
"January, 2022",148.7,6.3,10,4.9,4.6
"February, 2022",147.93,5.8,10,4.9,4.8
"March, 2022",138.19,5.8,10,4.9,4.8
"April, 2022",126.69,5.8,10,5.5,4.8
"May, 2022",107.49,5.8,10,5.5,4.8
"June, 2022",99.54,5.8,10,6.1,5.4
"July, 2022",98.62,5.8,10,6.1,5.4
"August, 2022",114.58,5.8,10,6.1,5.4
"September, 2022",106.75,5.8,10,6.1,5.4
