"Month, Year",Average Price (in dollars),INDUSTRY_ADJUSTED_SCORE,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE
"July, 2017",76.19,5.4,6.1,4.9,3.3
"August, 2017",75.61,5.4,6.1,5.1,3.2
"September, 2017",78.06,5.4,6.1,5.1,3.2
"October, 2017",81.1,5.4,6.1,5.2,3.2
"November, 2017",79.38,5.4,6.1,5.2,3.2
"December, 2017",87.84,5.4,6.1,5,3.2
"January, 2018",100.5,5.4,6.1,5,3.2
"February, 2018",97.22,5.4,6.1,5.9,3.2
"March, 2018",86.48,5.4,6.1,5.9,3.2
"April, 2018",85.38,5,6.1,6,3.2
"May, 2018",88.08,5,6.1,6,3.2
"June, 2018",98.19,5,6.1,6,3.2
"July, 2018",98.68,5,6.1,6.2,3.2
"August, 2018",101.45,5,6.1,6.1,3.2
"September, 2018",113.59,5,6.1,6.2,3.2
"October, 2018",103.21,5,6.1,6.6,3.2
"November, 2018",94.03,5,6.1,6.6,3.2
"December, 2018",90.83,5,6.1,6.4,3.2
"January, 2019",94.34,5,6.1,6.7,3.2
"February, 2019",101.74,5,6.1,6.7,3.2
"March, 2019",103.49,5,6.1,6.7,3.2
"April, 2019",113.84,5,6.1,6.8,3.2
"May, 2019",104.07,5,6.1,7,3.2
"June, 2019",98.22,5,6.6,7.4,3.2
"July, 2019",103.88,5.6,6.6,7.2,3.2
"August, 2019",101.16,5.6,6.6,7.4,3.2
"September, 2019",112.25,5.6,6.6,7.4,3.2
"October, 2019",110.13,5.6,6.6,7.4,3.2
"November, 2019",115.04,5.6,6.6,7.3,3.2
"December, 2019",118.3,5.6,6.6,7.3,3.2
"January, 2020",120.47,5.6,6.6,7.4,3.2
"February, 2020",120.45,6.7,6.6,7.4,3.9
"March, 2020",88.9,6.7,6.6,7.4,3.9
"April, 2020",94.56,6.7,6.6,7.4,3.9
"May, 2020",116.03,6.7,6.6,7.4,3.9
"June, 2020",131.3,6.7,6.6,7.1,3.9
"July, 2020",142.3,6.7,6.6,7.3,3.9
"August, 2020",158.18,6.7,6.6,7.5,3.9
"September, 2020",162.04,6.7,6.6,7.6,3.9
"October, 2020",169.95,7.9,7.1,7.6,4.5
"November, 2020",157.86,7.9,7.1,7.8,4.5
"December, 2020",159.08,7.9,7.2,7.3,4.5
"January, 2021",168.56,7.9,7.2,7.3,4.1
"February, 2021",171.71,7.9,7.2,7.3,4.1
"March, 2021",174.01,7.9,7.2,7.3,4.1
"April, 2021",199.16,7.9,7.2,7.3,4.1
"May, 2021",197.73,7.9,7.2,7.3,4.1
"June, 2021",190.44,7.9,7.2,7.6,4.1
"July, 2021",194.97,7.9,7.2,7.3,4.1
"August, 2021",196.94,7.9,7.2,7.3,4.1
"September, 2021",206.08,7.9,7.2,7.5,4.1
"October, 2021",218.24,7.9,7.2,7.6,4.1
"November, 2021",241.07,8.5,7.6,7.3,4.3
"December, 2021",253.18,8.5,7.6,7.3,4.3
"January, 2022",241.59,8.5,7.6,7.3,4.3
"February, 2022",226.17,8.5,7.6,7.3,4.3
"March, 2022",223.1,8.5,7.6,7,4.3
"April, 2022",202.58,8.5,7.6,7.2,4.3
"May, 2022",193.18,8.5,7.6,6.9,4.3
"June, 2022",183.14,8.5,7.6,6.9,4.3
"July, 2022",186.05,8.5,7.6,7,4.3
"August, 2022",203.32,8.5,7.6,7,4.3
"September, 2022",193.69,8.5,7.6,7,4.3
