"Month, Year",Average Price (in dollars),INDUSTRY_ADJUSTED_SCORE,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE
"July, 2017",86.12,3.1,2.7,4.8,4.7
"August, 2017",88.74,3.1,2.7,4.8,4.7
"September, 2017",95.19,3.1,2.7,4.8,4.7
"October, 2017",99.48,3.1,3.2,4.9,4.7
"November, 2017",104.37,3.1,3.4,4.9,4.5
"December, 2017",107.72,4,3.5,4.9,4.5
"January, 2018",117.1,4,3.5,4.9,4.5
"February, 2018",110.2,4,3.5,6.8,4.5
"March, 2018",107.82,4,3.5,6.8,4.5
"April, 2018",104.77,4,3.5,6.8,4.5
"May, 2018",111.4,4,3.5,6.8,4.5
"June, 2018",113.14,4,3.5,7,4.7
"July, 2018",108.45,4,3.5,6,4.7
"August, 2018",113.13,4,3.5,5.6,4.7
"September, 2018",105.79,4,3.1,5.4,4.7
"October, 2018",96.16,4,3.1,5.4,4.7
"November, 2018",93.37,3.7,3.2,5.1,4.7
"December, 2018",83.74,3.7,3.2,5.1,4.7
"January, 2019",86.07,3.7,3.2,4.7,4.7
"February, 2019",86.94,3.7,3.2,4.7,4.7
"March, 2019",86.3,3.7,3.2,4.7,4.7
"April, 2019",90.52,3.7,2.9,4.7,4.7
"May, 2019",81.08,3.7,2.9,4.7,4.7
"June, 2019",84.54,3.7,2.9,6.5,4.7
"July, 2019",85.76,3.7,2.9,6.3,4.7
"August, 2019",74.19,3.7,2.9,6.3,4.7
"September, 2019",84.98,3.7,2.9,6.5,4.9
"October, 2019",87.07,3.7,2.9,7,4.9
"November, 2019",95.15,3.7,3.1,7,4.9
"December, 2019",93.33,4.9,3.3,7.2,4.9
"January, 2020",88.26,4.9,3.3,7.2,4.9
"February, 2020",80.48,4.9,3.3,7.2,4.9
"March, 2020",53.5,4.9,3.3,7.2,4.9
"April, 2020",52.03,4.9,3.3,7.2,4.9
"May, 2020",57.99,4.6,3,7.4,4
"June, 2020",68.07,4.6,3,7.8,4
"July, 2020",67.03,4.6,3,7.6,4
"August, 2020",67.64,4.6,3,7.6,4
"September, 2020",72.77,4.6,3,7.6,4
"October, 2020",75.48,4.6,3,7.6,4
"November, 2020",79.76,4.6,3,7.1,4
"December, 2020",88.97,4.6,3.5,6.3,4
"January, 2021",93.1,4.6,3.5,6.3,4
"February, 2021",96.7,6.5,3.7,6.3,4.6
"March, 2021",106.42,6.5,3.7,6.5,4.6
"April, 2021",105.27,6.5,3.6,6,4.6
"May, 2021",111.81,6.5,3.6,6,4.6
"June, 2021",107.87,6.5,3.5,6.8,4.4
"July, 2021",99.31,6.5,3.5,5.9,4.4
"August, 2021",101.11,6.5,3.5,5.9,4.4
"September, 2021",93.86,6.5,3.5,5.9,4.4
"October, 2021",96.96,6.5,3.4,5.8,4.4
"November, 2021",92.36,5.7,3.4,6.2,4.4
"December, 2021",89.22,5.7,3.4,6.2,4.4
"January, 2022",97.12,5.7,3.2,6.6,4.4
"February, 2022",100.05,5.7,3.2,6.8,4.4
"March, 2022",101.62,5.7,3.2,6.8,4.4
"April, 2022",105.16,5.7,3.2,6.8,4.4
"May, 2022",109.51,5.7,3.2,6.8,4.4
"June, 2022",97.93,5.7,3.2,7.4,4.4
"July, 2022",86.99,5.7,3.2,8,4.4
"August, 2022",88.0,5.7,3.2,8,4.4
"September, 2022",78.23,5.7,3.6,8,4.4
