"Month, Year",Average Price (in dollars),INDUSTRY_ADJUSTED_SCORE,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE
"July, 2017",11.86,5.1,2.8,5.4,5.7
"August, 2017",11.52,5.1,2.8,5.4,5.7
"September, 2017",12.28,5.1,2.8,5.5,5.7
"October, 2017",13.76,5.1,2.8,5.5,5.7
"November, 2017",15.14,5.1,2.8,5.6,5.7
"December, 2017",15.74,5.1,2.8,5.6,5.7
"January, 2018",18.42,5.1,2.8,5.7,5.7
"February, 2018",16.08,5.1,2.8,5.5,5.7
"March, 2018",15.28,5.1,2.8,5.5,5.7
"April, 2018",17.44,5.1,2.8,5.5,5.7
"May, 2018",20.78,5.1,2.8,5.5,5.7
"June, 2018",20.88,5.1,2.8,5.1,5.7
"July, 2018",20.96,5,3.1,6,5.7
"August, 2018",20.49,5,3.1,5.9,5.7
"September, 2018",21.42,5,3.1,6,5.7
"October, 2018",20.94,5,3.1,6.2,5.7
"November, 2018",17.15,5,3.1,6.4,5.7
"December, 2018",14.89,5,3.1,6.4,5.7
"January, 2019",15.71,5,3.1,6.3,5.7
"February, 2019",16.26,5,3.1,6.3,5.7
"March, 2019",17.04,5,3.1,6.3,5.7
"April, 2019",17.57,5,3.1,6.3,5.7
"May, 2019",15.14,5,3.1,6.2,5.7
"June, 2019",13.6,5,3.1,6.3,5.7
"July, 2019",13.7,5,3.1,6.2,5.7
"August, 2019",12.4,5,3.1,6.3,5.7
"September, 2019",12.67,5,3.1,6.3,5.7
"October, 2019",11.63,5,2.7,6.3,5.7
"November, 2019",12.05,5.6,3.1,6.4,5.5
"December, 2019",12.93,5.6,3.1,6.5,5.5
"January, 2020",12.82,5.6,3.1,6.8,5.5
"February, 2020",10.5,5.6,3.1,6.8,5.5
"March, 2020",4.67,5.6,3.1,6.8,5.5
"April, 2020",4.35,5.6,3.1,6.8,5.5
"May, 2020",5.76,5.6,3.1,6.9,5.5
"June, 2020",6.45,5.6,3.1,6.7,5.5
"July, 2020",5.62,5.6,3.1,6.6,5.5
"August, 2020",5.68,5.6,3.1,6.6,5.5
"September, 2020",4.54,5.6,2.9,6.6,5.5
"October, 2020",4.15,5,2.7,6.1,5.5
"November, 2020",5.26,5,2.7,5.8,4.7
"December, 2020",6.7,5,2.7,5.8,6.1
"January, 2021",7.85,5,2.7,6.2,6.1
"February, 2021",9.28,5,2.7,6.2,6.1
"March, 2021",11.44,5,2.7,6.7,6.1
"April, 2021",10.93,5,2.7,6.4,6.1
"May, 2021",11.69,5,2.7,6.5,6.1
"June, 2021",13.54,5,2.7,6.3,6.1
"July, 2021",12.34,5,2.7,6.3,6.1
"August, 2021",11.64,5,2.7,6.3,6.1
"September, 2021",12.2,5,2.7,6.4,6.1
"October, 2021",15.98,5,2.7,5.6,6.1
"November, 2021",16.46,5,2.7,5.6,6.1
"December, 2021",15.8,5.5,3.1,5.6,5.3
"January, 2022",18.65,5.5,3.1,5.6,5.3
"February, 2022",21.45,5.5,3.1,5.6,5.3
"March, 2022",23.95,5.5,3.1,5.6,5.3
"April, 2022",25.59,5.5,3,5.4,5.3
"May, 2022",27.4,5.5,3,5.5,5.3
"June, 2022",27.19,5.5,3,6.8,5.3
"July, 2022",22.08,5.5,3,6.8,5.3
"August, 2022",24.09,5.5,3,6.9,5.3
"September, 2022",24.81,5.5,3,6.8,5.3
