"Month, Year",Average Price (in dollars),INDUSTRY_ADJUSTED_SCORE,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE
"July, 2017",97.2,5.7,9.3,4.9,4
"August, 2017",102.23,5.7,9.3,4.9,4
"September, 2017",104.72,5.7,9.3,4.9,4
"October, 2017",107.82,5.7,9.3,5,4
"November, 2017",111.46,5.7,9.3,5,4
"December, 2017",112.23,6.8,9.3,5,4.7
"January, 2018",121.35,6.8,9.3,5,4.7
"February, 2018",120.59,6.8,9.3,5,4.7
"March, 2018",121.6,6.8,9.3,5.1,4.7
"April, 2018",122.03,6.8,9.3,5.1,4.7
"May, 2018",130.12,6.8,9.3,5.1,4.7
"June, 2018",133.9,6.8,9.3,5,5
"July, 2018",138.11,6.8,9.3,5,5
"August, 2018",141.74,6.8,9.3,5.3,5
"September, 2018",147.28,6.8,9.3,5.3,5
"October, 2018",140.59,6.8,9.3,5.4,5
"November, 2018",139.31,6.8,9.3,5.4,5
"December, 2018",133.8,6.8,9.3,5.4,5
"January, 2019",136.44,7,9.3,5.3,4.7
"February, 2019",143.58,7,9.3,5.3,4.7
"March, 2019",152.26,7,9.3,5.1,4.7
"April, 2019",159.88,7,9.3,5.3,4.7
"May, 2019",162.06,7,9.3,5.4,4.7
"June, 2019",169.64,7,9.3,5.4,4.7
"July, 2019",179.49,7,9.3,5.5,4.7
"August, 2019",177.59,7,9.3,5.4,4.7
"September, 2019",177.19,7,9.3,5.4,4.7
"October, 2019",175.78,7,9.3,5.4,4.7
"November, 2019",180.22,7,9.3,5.4,4.4
"December, 2019",184.93,7,9.3,5.3,4.4
"January, 2020",198.94,6.2,9.3,5,4.5
"February, 2020",201.52,6.2,9.3,5,4.5
"March, 2020",166.95,6.2,9.3,4.9,4.5
"April, 2020",167.58,6.2,9.3,4.9,4.9
"May, 2020",185.64,6.2,9.3,4.9,4.9
"June, 2020",194.44,6.2,9.3,4.9,4.9
"July, 2020",195.08,6.2,9.3,4.9,4.9
"August, 2020",201.57,6.2,9.3,4.9,4.9
"September, 2020",202.81,6.2,9.3,4.9,4.9
"October, 2020",197.88,6.2,9.3,4.9,4.9
"November, 2020",205.67,6.2,9.3,4.9,4.9
"December, 2020",210.47,6.2,9.3,4.5,4.8
"January, 2021",205.95,6.2,9.7,4.6,4.8
"February, 2021",208.23,6.2,9.7,4.3,5.2
"March, 2021",216.13,6.2,9.7,4.7,5.2
"April, 2021",225.35,6.9,9.7,4.8,5.3
"May, 2021",227.47,6.9,9.7,4.8,5.3
"June, 2021",232.76,6.9,9.7,4.8,5.3
"July, 2021",243.51,6.9,9.7,4.8,5.3
"August, 2021",234.62,6.9,9.7,4.8,5.3
"September, 2021",225.34,6.9,9.7,4.7,5.3
"October, 2021",226.42,6.9,9.7,4.6,5.3
"November, 2021",207.09,6.9,9.7,4.6,5.3
"December, 2021",210.69,6.9,9.7,4.5,5.3
"January, 2022",214.65,6.9,9.7,4.6,5.3
"February, 2022",225.43,6.9,9.7,4.6,5.3
"March, 2022",210.14,6.9,9,4.6,5.3
"April, 2022",215.74,6.9,9,4.8,5.3
"May, 2022",203.1,7.1,9,4.6,5.6
"June, 2022",201.6,7.1,9,5.5,5.6
"July, 2022",208.1,7.1,9,5.5,5.6
"August, 2022",209.86,7.1,9,5.5,5.6
"September, 2022",192.12,7.1,9,5.5,5.6
